stik KF
A18	B6-36-15
A17	B6-36-14
A16	B6-36-13
A15	C5-7-2
A14	C5-9-5
A13	C5-10-13N

A12	C5-9-13N
A11	C5-9-2N
A10	C5-8-2
A9	C5-7-5
A8	C5-2-14
A7	C5-1-14

A6	C5-5-14N
A5	C5-4-2
A4	C5-4-15N
A3	C5-5-15N
A2	C5-5-2N
A1	C5-6-8

B18	B6-36-11
B17	B6-36-10
B16	B6-36-13N
B15	B6-36-12N
B14	C5-10-5N
B13	C5-9-11

B12	C5-5-5N
B11	C5-8-5
B10	C5-9-5N
B9	C5-2-2N
B8	C5-3-2
B7	C5-1-2N

B6	C5-11-12N
B5	C5-12-12N
B4	C5-6-11
B3	C5-5-14
B2	C5-4-14N
B1	C5-3-2N

C18	B6-36-10N
C17	B6-39-3
C16	C6-3-12
C15	A2-4-13
C14	C5-11-14
C13	C5-11-11

C12	C5-1-2
C11	C5-3-14N
C10	C5-1-15N
C9	C5-9-14
C8	C5-2-13N
C7	C5-2-14N

C6	C5-13-12N
C5	C5-6-2N
C4	C5-6-14
C3	C5-6-5N
C2	C5-4-5N
C1	C5-7-15N

D18	C2-1-12
D17	C5-2-5
D16	C5-20-2
D15	C5-2-2
D14	C5-10-2N
D13	C5-11-2

D12	C5-3-5N
D11	C5-7-2N
D10	C5-9-2
D9	C5-4-2N
D8	C5-8-14
D7	C5-2-5N

D6	C5-7-8
D5	C5-7-14
D4	C5-1-5N
D3	C5-4-14
D2	C5-7-5N
D1	C5-2-15N

E18	C5-6-5
E17	C5-1-5
E16	C5-9-8
E15	C2-8-12N
E14	C5-10-5
E13	C5-11-5

E12	C5-10-14
E11	C5-8-2N
E10	C5-8-5N
E9	C5-10-2
E8	C5-10-11
E7	C5-8-8

E6	C5-6-15N
E5	C5-8-13N
E4	C5-7-11
E3	C5-8-11
E2	C5-4-13N
E1	C5-3-14

F18	C2-21-15N
F17	C2-21-14
F16	C2-4-11N
F15	C2-7-14N
F14	C5-13-13N
F13	C5-20-8

F12	C5-18-14
F11	C5-20-2N
F10	C5-12-2N
F9	C5-14-5N
F8	C5-18-8
F7	C5-9-14N

F6	C5-15-2N
F5	C5-16-2
F4	C5-18-5N
F3	C5-15-8
F2	C5-19-11
F1	C5-19-14

G18	C5-3-8
G17	C5-11-8
G16	C5-2-8
G15	C5-1-8
G14	C5-20-14
G13	C5-12-14

G12	C5-11-15N
G11	C5-18-2
G10	C5-14-2N
G9	C5-14-11
G8	C5-14-8
G7	C5-13-2N

G6	C5-17-5
G5	C5-17-14
G4	C5-19-8
G3	C5-16-5
G2	C5-16-5N
G1	C5-20-15N

H18	C5-13-15N
H17	C5-19-5
H16	C5-2-12N
H15	C5-10-8
H14	C5-12-13N
H13	C5-20-11

H12	C5-11-5N
H11	C5-16-8
H10	C5-19-15N
H9	C5-15-5N
H8	C5-13-8
H7	C5-13-5N

H6	C5-17-5N
H5	C5-14-14
H4	C5-15-5
H3	C5-17-11
H2	C5-15-2
H1	C5-17-2N

J18	C5-1-12N
J17	C5-3-11
J16	C5-2-11
J15	C5-1-11
J14	C5-12-5N
J13	C5-12-15N

J12	C5-10-14N
J11	C5-18-2N
J10	C5-14-2
J9	C5-13-14
J8	C5-13-5
J7	C5-13-2

J6	C5-17-12N
J5	C5-18-11
J4	C5-19-5N
J3	C5-17-8
J2	C5-18-12N
J1	C5-18-5

K18	C2-23-11
K17	A2-4-15
K16	A2-4-14
K15	C5-4-8
K14	C5-12-2
K13	C5-12-11

K12	C5-11-13N
K11	C5-12-5
K10	C5-11-2N
K9	C5-16-14
K8	C5-16-11
K7	C5-13-11

K6	C5-14-5
K5	C5-20-5N
K4	C5-15-11
K3	C5-15-14
K2	C5-17-2
K1	C5-19-2N
end
stik BF1
lbl	skuffe		desc
E1	B6-28-9		4
D1	B6-27-3N	3
C1	B6-27-6N	2
B1	B6-27-15	1
A1	B6-27-9		bit0
E2	B6-29-15	9
D2	B6-29-9		8
C2	B6-28-3N	7
B2	B6-28-6N	6
A2	B6-28-15	5
E3	B6-30-6N	14
D3	B6-30-15	13
C3	B6-30-9		12
B3	B6-29-3N	11
A3	B6-29-6N	10
E4	B6-31-3N	19
D4	B6-31-6N	18
C4	B6-31-15	17
B4	B6-31-9		16
A4	B6-30-3N	15
